"Number of runs","m","N","FLOPS/IPS (gcc)","FLOPS/IPS (clang)","Time elapsed (gcc)","Time elapsed (clang)"
1,1,4,.1684942,,0.008437831,
1,2,32,.4421269,,0.088141253,
1,3,108,.5248551,,0.617086147,
1,4,256,.5672505,,2.893358331,
1,5,500,.5910299,,8.431515723,
1,6,864,.6048383,,20.030050951,
1,7,1372,.6123963,,42.611812314,
1,8,2048,.6174555,,85.211486186,
1,1,4,.1451391,,0.007796088,
1,2,32,.2979492,,0.105470289,
1,3,108,.3499804,,0.706496606,
1,4,256,.3980049,,3.155688617,
1,5,500,.4300175,,8.902314067,
1,6,864,.4495592,,22.043564946,
1,7,1372,.4610327,,55.032364311,
1,8,2048,.4683502,,144.860305853,
1,1,4,.1577754,,0.007611817,
1,2,32,.6283134,,0.081052382,
1,3,108,.7820883,,0.586974268,
1,4,256,.8478729,,2.600145837,
1,5,500,.8852859,,7.243354484,
1,6,864,.9055643,,16.752061518,
1,7,1372,.9173133,,35.219821260,
1,8,2048,.9247674,,69.904926937,
1,1,4,.0694855,,0.014901787,
1,2,32,.1404259,,0.429338637,
1,3,108,.1399691,,3.402189003,
1,4,256,.1312257,,17.665796873,
1,5,500,.1263180,,60.680013128,
1,6,864,.1237200,,166.311199260,
1,7,1372,.1222859,,400.220664933,
1,8,2048,.1213739,,894.761413642,
